,授業科目名,科目番号,単位数,標準履修年次,時間割,担当教員,授業概要,専攻区分,授業方法,学位プログラム・コンピテンスとの関係,授業の到達目標(学修成果),授業計画,履修条件,成績評価方法,学修時間の割り当て及び授業外における学修方法,教材・参考文献・配付資料等,オフィスアワー等(連絡先含む),その他(受講生にのぞむことや受講上の注意点等),他の授業科目との関連,ティーチングフェロー(TF)・ティーチングアシスタント(TA),キーワード
70,地域経営・行政論,FH48031,2.0 単位,2 - 4 年次,"秋AB 水1,2","有田 智一, 川島 宏一",公共政策のあり方及びその担い手の変化に係る近年の新たな世界的潮流及び欧米諸国との比較を踏まえつつ、国土計画、住宅・都市地域政策の事例を通して、公共政策の決定・実施・評価及び今後の都市・地域再生のあり方について議論できる能力を習得する。,都市計画,講義,汎用コンピテンス批判的・創造的思考力/ 広い視野と国際性専門コンピテンス社会システムの基礎的理解と洞察力/  グローバル課題の分析能力/ 社会的要応力,公共政策のあり方及びその担い手の変化に係る近年の新たな世界的潮流及び欧米諸国との比較を踏まえつつ、国土計画、住宅・都市地域政策の事例を通して、公共政策の決定・実施・評価及び今後の都市・地域再生のあり方について議論できる能力を習得する。,有田、川島とともに適宜外部の実務家も交えて実施する。第1回 公共部門の役割第2回 行政システムの体系第3回 都市財政・公共サービスの供給第4回 外部性と政策第5回 公平性・所得再分配政策第6回 NPM・政策評価第7回 都市・地域のガバナンス第8回 国土・都市・地域政策 1第9回 国土・都市・地域政策 2第10回 今後の都市・地域再生の方向性,特になし,講義ごとの課題提出及び最終試験による。 (最終試験実施方法は詳細は授業中に指示る予定)評価割合は 講義ごとの課題提出30% 最終試験70%とする。最終試験の評価基準(1)問題の設定標準+α A~A+背景がわかりやすく述べられ問題設定が既存の研究レビューに基づいて明確にされている標準 B背景の説明と問題設定が適切であり、既存研究のレビューがなされているC 合格最低ライン背景と設定が説明されているD 不合格背景、設定のいずれかが説明されていない(2)論旨の展開標準+α A~A+論旨の組立て、展開に創意工夫がみられる標準 B論旨の展開が明確であるC 合格最低ライン論旨は理解できるレベルにあるD 不合格論旨が不明確である(3)結論の導き方標準+α A~A+独創性がみられ、結論には説得力がある標準 B明確な結論を導いているC 合格最低ライン論旨の展開と結論の間に矛盾はないD 不合格結論は唐突である,学修時間の割り当て講義(100%)授業外における学修方法講義ごとに課す課題についてレポートを作成し所定の期限までに提出すること,特に指定しない(参考文献等は必要に応じて提示もしくは配布する),随時。メールでアポイントを取ること有田 智一  arita at sk.tsukuba.ac.jp川島 宏一  kawashima.hiroichi.gb at u.tsuku,講義は日本語で実施する。,,なし,公共政策のあり方 / 公共性の担い手
71,政策・公共事業評価,FH48041,2.0 単位,2 - 4 年次,"春AB 火1,2",堤 盛人,"都市・地域・国土を対象とした政策を念頭に政策評価の現状について説明するとともに、社会資本整備プロジェクトを対象に,経済分析(費用便益分析)・財務分析・プロクトに関する金融について説明する。",都市計画,講義,汎用コンピテンス批判的・創造的思考力データ・情報リテラシー広い視野と国際性専門コンピテンス社会システムの基礎的理解と洞察力 グローバル課題の分析能力社会的要請への対応力,都市・地域・国土を対象とした様々な政策の評価に関して、政策評価の方法論や様々な手法、現状・課題について学ぶ。次いで、公共事業(社会資本整備事業/プロジェクト)を対象に、(1)経済分析(費析) (2)財務分析  (3)プロジェクトに関する金融 について学び、広く一般ト/事業評価とファイナンスに関する基礎的知識を習得する。,政策評価の目的と概要政策評価に用いられる様々な手法我が国における政策評価の現状と課題公共事業の種別・類型とその特徴公共事業の効果とFeasibility Study公共事業の経済分析:経済分析の基本的な考え方  便益の定義と計測公共事業の財務分析:財務分析の基本的な考え方  財務諸表の作成公共事業に関する金融:プロジェクトのファイナンスとリスク プロジェクト・ファインス期末試験は試験期間中に本学の教室で実施する。,講義では、ミクロ経済学・会計学、金融論の基礎的な知識を必要とする。これらの科目を履修していることが望ましいが、履修していない場合には、授業の予習・復習において各自で学習すること。,期末試験の成績(100%)に基づき評価する(評点)。,受講者の理解度に応じ、授業中に指示する。,なし,,本講義の内容は、都市計画主専攻の学生のみならず、社会経済システム・経営工学主専攻の学生にとっても有益で関わりの深い内容である。FH41051  都市・地域・国土の政策評価 を単位修得済みの学生は履修を認め,,,政策評価 施策 事業 費用便益分析
72,都市解析,FH48051,2.0 単位,2 - 4 年次,"秋AB 木3,4","鈴木 勉, 石井 儀光, EOM SUNYONG, 大澤 義明","都市をある視点から抽象化すると,点や線や面の織りなすパターンとみなすことができる。そこで,都市機能の面から,これらのパターンを分析する場合の数理的基礎につい論ずる。",都市計画,講義,"批判的・創造的思考力,データ・情報リテラシー,社会システムの基礎的理解と洞察力雑な社会問題解決のための数学・統計学・情報技術","都市をある視点から抽象化すると,点や線や面の織りなすパターンとみなすことができる.そこで,都市機能の面から,これらのパターンを分析する場合の数理的基礎を理解ことを目標とする.","都市を構成する建物,施設,道路などの要素間の関係や秩序,パターンがそれらの持つとどのような関係にあるか,また,都市が展開されている2次元平面の持つ特徴についじる.地図を見たり,データをながめたりしただけでは分からない数理的方法について説する.第1回 都市の施設配置 担当:鈴木 勉第2回 道路網・交差点と移動経路の交差 担当:鈴木 勉第3回 データから読む都市構造 担当:石井 儀光第4回 都市計画のDXの動向と防災・減災の数理モデル 担当:石井 儀光第5回 土地利用の数理モデル 担当:EOM SUNYONG第6回 人の動きを考慮した都市解析と数理モデル 担当:EOM SUNYONG第7回 都市解析におけるビッグデータの活用 担当:EOM SUNYONG第8回 都市解析による地域問題へのアプローチ(1)第9回 都市解析による地域問題へのアプローチ(2)第10回 まとめ 担当:鈴木 勉",特になし,期末試験またはレポート(100%)により評価する.授業中に行う課題も考慮するこある.,"受講者の理解度に応じ,授業中に指示する.","1. 腰塚武志,「応用のための積分幾何学」,近代科学社.",随時.メールでアポイントを取ること.鈴木 勉  メールでアポを取ること. tsutomu at risk.tsuktsukuba.ac.jp/̃tsutomu/public_html/inde石井 儀光EOM SUNYONG  eom.sunyong.fw at u.tsukub大澤 義明  osawa at sk.tsukuba.ac.jphttp://infoshako.sk.tsukuba.ac.jp/̃tosh,特になし,,,"都市解析, 施設配置, 立地理論, Croftonの定理, 積分幾何学"
73,環境政策論,FH48061,2.0 単位,2 - 4 年次,"秋AB 火3,4",奥島 真一郎,本科目では、主に経済学的な観点から、環境保全のための政策手段やその評価手法について考察する。加えて、様々な価値観、ディシプリンと政策インプリケーションとの関係について考察し、「環境問題」や「環境政策」に対する多様な視点を涵養する。また、地球温暖化問題や廃棄物問題など具体的な環境問題についての理解を深める。,都市計画,講義,批判的・創造的思考力、データ・情報リテラシー、広い視野と国際性、国際学(国際開発)の理解、国際学(国際開発)の分析能力、国際学(国際開発)の論理的表現(国際類) / 批判的・創造的思考力、広い視野と国際性、社会システムの基礎的理解と洞力、グローバル課題の分析能力、社会的要請への対応力(社会工学類),1.  環境保全のための政策手段やその評価手法について説明できる。2.  「環境問題」や「環境政策」に対する多様な視点、考え方を理解する。3.  気候変動問題や廃棄物問題など具体的な環境問題について説明できる。,イントロダクション環境経済学、政策分析(直接規制、税、補助金、排出許可証取引制度など)1環境経済学、政策分析(直接規制、税、補助金、排出許可証取引制度など)2環境経済学、政策分析(直接規制、税、補助金、排出許可証取引制度など)3環境と倫理(環境倫理学):道徳的配慮の拡大環境と倫理(環境倫理学):自然に対する責任、ディープエコロジー(Deep E環境行動主義環境と倫理:気候倫理(気候正義)実際の環境問題と環境政策:気候変動政策など実際の環境問題と環境政策:エネルギー政策など実際の環境問題と環境政策:気候変動の経済学など,ミクロ経済学、マクロ経済学の基礎は前提とする(「限界」概念など)。,1. 平常点(授業中に課す課題や小テスト等)20%、2. 期末試験80%、によ合点に基づき、A+(̃90点)、A(̃80点)、B(̃70点)、C(̃60点),復習を必ず行うこと。,教科書は特になし。参考書は以下の通り。その他の参考書、論文は、適宜指示する。また、適宜資料を配付する。,随時(メールによる事前アポイントメント要)。,対面講義。オンデマンド録画配信回あり。期末試験は対面。代替措置はない。,,TAあり。,"環境政策, 環境経済学, 環境倫理"
74,都市計画インターンシップ,FH45013,2.0 単位,3・4 年次,通年 応談,"渡辺 俊, 山本 幸子","都市計画と関連のある官公庁,研究所,企業,非営利団体などで研修を行い,実践的な発見と解決能力を身につける。",都市計画,実習・実験・実技,汎用コンピテンス:コミュニケーション能力 批判的・創造的思考力データ・情報リテラシー広い視野と国際性 心身の健康と人間性・倫理性 協働性・主体性・自律性専門コンピテンス:社会的要請への対応力コミュニケーション・スキル 課題探求能力,夏期休業期間中を利用して、官公庁、研究所、企業、非営利団体などで研修を行い、都市計画に関する実践的な問題発見・解決能力を身につけるとともに、就業体験を通して職業意識の醸成、自己能力の涵養、学習意識の再確認、自己の適正判断と将来の進路選定の指針を獲得する。,4月: 研究希望先調査、紹介教員の確定5月: 紹介教員との面接、研修先との調整6月: ガイダンス、研修先の注意事項の説明、報告書用紙の配布8~9月:研修の実施10月:報告書提出、報告会における報告、礼状送付受け入れ機関及び担当教員の指示に従うこと。,社会工学類3・4年次生を優先する。,"原則として2週間以上の研修を実施した者を成績評価の対象とし,その実績に関する報書内容(80%)及び10月初旬に開催する報告会における報告内容(20%)によりる。",受け入れ機関の指示に従うこと。,受け入れ機関の指示に従うこと。,N.A.,,,,インターンシップ
75,建築関連法規,FH45051,1.0 単位,2 - 4 年次,秋B 集中,"飯田 直彦, 五條 渉, 石﨑 和志",建築基準法を主体に、都市計画・土地利用関係法令、建設事業関係法令など、建築全般に関する法令を、実例を引用して具体的に講義することにより、法令の基礎的な仕組みを理解する。,都市計画,講義,汎用コンピテンス批判的・創造的思考力/ 広い視野と国際性専門コンピテンス社会システムの基礎的理解と洞察力,建築基準法を主体に、都市計画・土地利用関係法令、建設事業関係法令など、建築全般に関する法令を、実例を引用して具体的に講義することにより、法令の基礎的な仕組みを理解する。,建築基準法を主体に、都市計画・土地利用関係法令、建設事業関係法令など、建築全般に関する法令を、実例を引用して具体的に講義することにより、法令の基礎的な仕組みを理解する。第1回 建築関連法規概論 担当:五條 渉第2回 建築基準法1(総則)及び建築士法 担当:五條 渉第3回 建築基準法2(単体) 担当:五條 渉第4回 建築基準法3(集団1) 担当:飯田 直彦第5回 建築基準法4(集団2) 担当:飯田 直彦第6回 消防法・衛生安全関連法規 担当:石﨑 和志第7回 優良建築物促進のための法規 担当:石﨑 和志第8回 住宅関連法規 担当:石﨑 和志第9回 都市計画法・都市関連法規 担当:飯田 直彦第10回 まちづくり関連法規 担当:飯田 直彦,特になし。,課題レポートによって評価する。最終レポートの評価基準(1)問題の設定標準+α A~A+背景がわかりやすく述べられ問題設定が既存の研究レビューに基づいて明確にされている標準 B背景の説明と問題設定が適切であり、既存研究のレビューがなされているC 合格最低ライン背景と設定が説明されているD 不合格背景、設定のいずれかが説明されていない(2)論旨の展開標準+α A~A+論旨の組立て、展開に創意工夫がみられる標準 B論旨の展開が明確であるC 合格最低ライン論旨は理解できるレベルにあるD 不合格論旨が不明確である(3)結論の導き方標準+α A~A+独創性がみられ、結論には説得力がある標準 B明確な結論を導いているC 合格最低ライン論旨の展開と結論の間に矛盾はないD 不合格結論は唐突である,学修時間の割り当て講義(100%)授業外における学修方法課題についてレポートを作成し所定の期限までに提出すること,指定教科書を別途掲示予定,世話人教員にお問い合わせください世話人教員 有田智一 arita@sk.tsukuba.ac.jp,講義は日本語で実施する。,,なし,建築基準法都市計画法
76,建築経済,FH45061,1.0 単位,2 - 4 年次,秋B 集中,田村 篤,"建築活動の経済的側面と建築のライフサイクル,建築の管理に関わる基礎知識を習得する。",都市計画,講義,汎用コンピテンス批判的・創造的思考力/ 広い視野と国際性専門コンピテンス社会システムの基礎的理解と洞察力/ グローバル課題の分析能力社会的要請への対応力,建築活動の経済的側面、建築コスト管理の意義と建築積算に関する基礎知識を修得する。,建築活動の経済的側面、建築コスト管理の意義と建築積算に関する基礎知識を修得する。第1回 建築活動を支える経済的側面 担当:渡邊 史郎第2回 建築生産1(建築のライフサイクル  建築企画・設計・施工・維持管理)邊 史郎第3回 建築生産2(建築生産に関わる技術者の責任と役割) 担当:渡邊 史郎第4回 建築生産3(建築プロジェクトの管理、受発注契約) 担当:渡邊 史郎第5回 建築のコスト管理1(積算と見積り、工事費の構成) 担当:渡邊 史郎第6回 建築のコスト管理2(数量積算) 担当:渡邊 史郎第7回 建築のコスト管理3(躯体工事の積算) 担当:渡邊 史郎第8回 建築のコスト管理4(仕上げ工事・設備工事の積算) 担当:渡邊 史郎第9回 建築の評価1(建築の性能評価・表示) 担当:渡邊 史郎第10回 建築の評価2(性能評価の新たな側面) 担当:渡邊 史郎,建築に関する知識を一定程度有していることを前提に講義する。,講師から提示された課題へのレポート内容で総合評価する。レポートの評価基準(1)問題の設定標準+α A~A+背景がわかりやすく述べられ問題設定が既存の研究レビューに基づいて明確にされている標準 B背景の説明と問題設定が適切であり、既存研究のレビューがなされているC 合格最低ライン背景と設定が説明されているD 不合格背景、設定のいずれかが説明されていない(2)論旨の展開標準+α A~A+論旨の組立て、展開に創意工夫がみられる標準 B論旨の展開が明確であるC 合格最低ライン論旨は理解できるレベルにあるD 不合格論旨が不明確である(3)結論の導き方標準+α A~A+独創性がみられ、結論には説得力がある標準 B明確な結論を導いているC 合格最低ライン論旨の展開と結論の間に矛盾はないD 不合格結論は唐突である,学修時間の割り当て講義(100%)授業外における学修方法課題についてレポートを作成し所定の期限までに提出すること,必要に応じて講義中に提示する,世話人教員にお問い合わせください世話人教員 有田智一 arita@sk.tsukuba.ac.jp,非常勤講師により集中講義方式で行いますので、日程など掲示に注意して下さい。講義は日本語で実施する。,,なし,建築生産、建築コスト
77,建築生産,FH45071,1.0 単位,2 - 4 年次,秋AB 集中,"川上 敏男, 藤川 昌樹","建築生産の概要について演習・現場をまじえながら理解し,その基礎習得を目指す学生きの講義である。集中講義ではあるが,見学をふくめ現場での実際のものつくりを建築工の工程をふまえながら、体感することに取り組む。",都市計画,講義,「批判的・創造的思考力、広い視野と国際性、社会システムの基礎的理解と洞察力、グローバル課題の分析能力、社会的要請への対応力」,"建築がいかに作られていくか、講義の受講・現場見学を通して理解し,その基礎的知識得を行う。集中講義ではあるが,見学をふくめ実際のものつくりを豊富な事例紹介を通て、体感することに取り組む。",2日間の集中講義とし、(1)-(5)、(6)-(10)をそれぞれ1日間で実施す2021年は、コロナウイルス感染防止のため、・第1回(日程未定)9:30-17:00 ONLINE(Teamsを利用、詳し・第2回(日程未定)9:30-17:00 ONLINE講義/ONSITE現場見で講義を実施する。(1) オリエンテーションおよび建築生産(施工・設計)概要(2) 杭工事・土工事・山留め工事(3) 躯体工事・鉄筋工事・型枠工事(4) コンクリート工事・演習課題出題(5) 工事例(6) 現場見学(7) 現場見学(8) 鉄骨工事・CW工事・仕上工事(9) 環境・安全・コスト・工程管理(10) 工事例・レポート課題出題講義と現場見学の双方により、立体的な理解ができるように講義は計画されている。,建築の建設に関し関心を有していることが必須である。,各回の講義・見学会におけるレポートによる評価点の合計により成績を判定する。,受講者の理解度に応じ、授業中に指示する。,講義中に配布する。特になし。,特になし(非常勤教員のため)。特になし,現場を見学する貴重な機会が提供される講義であるので、積極的な姿勢で受講して欲しい。,,T.A.配置あり。,建設 技術 現場
78,都市計画の思想史,FH45081,2.0 単位,1 - 3 年次,"春C 火1,2,木1,2",松原 康介,都市計画を学ぶこととは、一義的には都市を制御するための技術を習得し職能として身に着けることを意味するが、その成立の背景で積み重ねられてきた多くの試行錯誤の歴史を知ることは、都市計画と人間の関わりのあり方を客観的にとらえ、技術と倫理の関わり方を考える力を養うことにつながる。本講義では、都市計画の基礎的なトピックを対象に、その成立に関わった人々の考え方や言葉を「しつこく丁寧に掘り下げて」議論する。テキストや写真、図面など、できるだけ多くの生資料に触れて頂く。国際の学生にとっては、世界史もふまえた広い切り口からの都市計画への入門講座して位置付けられる。また、社工生にとっては、普段学んでいる技術としての都市計画の成立の背景に、どんな人々のどのような考え方が潜んでいたのかを再認識する機会として頂きたい(もちろん、他学類の学生も歓迎します)。,都市計画,講義,1.汎用コンピテンス:広い視野と国際性。2.専門コンピテンス:国際学(国際開発)についての分析能力(国際総合学類)+グル課題の分析能力(社会工学類),・建築・都市計画の背景にいた人々の「考え方」の概要、エッセンスを説明できる・歴史上の人物の思想(小説、哲学、建築、政治)が都市計画に与えた影響の概略を説できる,人物を中心に据える。小説、哲学、建築、政治などの諸領域において活動した人物を、時代別・地域別に事例としてとりあげ、週毎の主人公とする。原文テキストを購読しつつ進め、講師こだわりの小ネタも散りばめて紹介する。Cモジュールのみの短期集中でるため、毎回小レポートにより知識の定着をはかる。明治→大正→昭和→平成(日本の合)といった形で、歴史的時間軸に沿って話を進める。概ね、以下のような時代を各回おいて行う。第1回~第3回 明治、大正、昭和期における日本の都市計画第4回~第6回 上記時代において特に影響を与えたヨーロッパの都市計画第7回~第9回 空間認識の変容が進むグローバル時代第10回 身近なつくばセンターを題材とする総復習と展望森鴎外と建築基準法後藤新平と都市計画法石川栄耀と盛り場ナポレオン三世とパリ改造カミロ・ジッテとウィーン造形ル・コルビュジエとCIAM清家清と室礼(しつらい)番匠谷堯二と中東の都市復興柄谷行人と構造への意思磯崎新とつくばセンター,特になし,オンサイト出席を前提とする毎回の小レポート(40%)+最終試験(60%),授業で扱った都市・建築について、実際に訪れて見聞を深めることを奨励する。,各回で中心となる人物に関する代表的な書物をあげるが、これ以外にも積極的に読むことがのぞましい。このほか、講義中に提示する。,毎週火・木の18時から19時まで(講義後にオフィスアワーを持つ),オンサイト出席を前提とします。多くの本を読んでください。,,TAがいます。,都市・建築にかかわる思想/都市・建築にかかわる人物論/国際交流/
79,施設設計演習,FH45092,2.0 単位,3・4 年次,"秋AB 月5,6","渡辺 俊, 張  昊, 松林 道雄, 雨宮 護",空間の設計能力向上を目指す建築設計製図演習である。2-3年次に「基本製図」及び環境設計演習(住環境計画演習)」等を受講した学生が、これまでに習得した設計製図おける基礎手法を踏まえて、先進的な情報処理技術による高度な設計方法を身に着けることを目標とする。,都市計画,演習,「コミュニケーション能力、批判的・創造的思考力、データ・情報リテラシー、協働性・主体性・自律性、社会的要請への対応力、コミュニケーション・スキル、課題探求能力」,「基本製図」及び「住環境設計演習(住環境計画演習)」等における建築設計手法の習を前提として、さらにBIM(Building Information Mode身に付けるとともに、デザイン能力の向上を目指す。,最先端のオフィスビルを題材としたBIM演習を通じてオフィス設計の基本を学ぶととに、具体的な設計課題を通じて建築計画力・設計能力を養い、新しい時代の執務環境にふさわしい建築・都市空間をデザインする。BIMソフトウェアについては、大学の端も自身のパーソナルコンピュータでも利用できる教育用ライセンスを提供する。第1回 課題説明・BIM演習(1)第2回 オフィス設計の基礎・BIM演習(2)第3回 オフィス事例の紹介・BIM演習(3)第4回 敷地分析・BIM演習(4)第5回 エスキース・BIM演習(5)第6回 ゾーニング・ヴォリュームスタディ第7回 基本計画発表会第8回 計画案のモデリング・設計作業第9回 設計作業・プレゼンテーション準備第10回 最終発表会,2-3年次に「基本製図」、「住環境設計演習(住環境計画演習)」を受講している、は同等のスキルを習得していること。,"設計製図力、及び、総合的な建築・都市計画能力(発想力,労力,プレゼンテーション確性など)を評価する。",設計の作業は授業時間内だけではなく、授業前後の時間も積極的に活用すること。,各週で資料を配布する。その他、設計課題の対象に応じて参考文献を指示する。,,建築士受験資格の取得のためだけでなく、設計関連職への就職活動の際に必要となる作品を作成するチャンスなので、意欲的に受講して欲しい。,,T.A.配置あり。,建築 設計 オフィスビル BIM
80,都市計画演習,FH45122,4.0 単位,2 年次,秋AB 月3-6,"甲斐田 直子, 鈴木 勉, 谷口 綾子, 谷口 守, 松原 康介, 和田 健太郎, EOM SUNYONG","(社会工学類・国際総合学類共通)「変貌するつくば市の現状と問題点,将来を探る」う課題のもと,現地調査を通して都市地域の空間を実際に体験するとともに,基礎資料収集・解析によって地域特性を把握し,その地域における都市・地域計画上の課題を自発見提示し,問題解決の方法や考え方の基礎を体験的に習得することを目的とする.具的には,担当教員毎に課題の領域が設定されるので,それぞれの課題領域で班を構成し員の指導を受けながら,現地調査や資料調査,データ解析,関係者との討論等を通じて画課題の発見と問題解決に資する提案を行う実践的能力を習得する.",都市計画,演習,"汎用コンピテンス:1-6(コミュニケーション能力、批判的・創造的思考力、データ報リテラシー、広い視野と国際性、心身の健康と人間性・倫理性、協働性・主体性・自律性)専門コンピテンス:5,6(コミュニケーション・スキル、課題探究能力)","(社会工学類・国際総合学類共通)基礎資料の収集・解析によって地域特性を把握し,地域における都市・地域計画上の課題を自ら発見提示し,計画課題の発見と問題解決にする提案を行うことができる.",第1回 ガイダンス・班編成第2回 作業(テーマ設定など)第3回 作業(グループワーク計画策定など)第4回 作業(調査実施・分析など)第5回 作業(調査実施・分析、発表準備など)第6回 中間発表会第7回 作業(調査実施・分析など)第8回 作業(調査実施・分析など)第9回 作業(発表準備など)第10回 最終発表会,(社会工学類・国際総合学類共通)前提科目は特になし.(社会工学類) 社会工学類都市計画専攻2年生を優先する.(国際総合学類) 国際総合学類学生は国際開発学主専攻の3-4年次を優先とする.,"(社会工学類・国際総合学類共通)演習への取り組みの態度および貢献度(40%),の発表および質疑(20%), 最終成果物(レポート)(40%)によって総合的に",,"(社会工学類・国際総合学類共通) サブテーマによって指定することがあるほか,デベースとして蓄積されている過去の実習報告書や関連教材を提供する.",メールでアポイントメントを取ること甲斐田 直子  メールによりアポイントメントを取ること naoko.kaidaac.jphttps://trios.tsukuba.ac.jp/resear鈴木 勉  メールでアポを取ること. tsutomu at risk.tsuktsukuba.ac.jp/̃tsutomu/public_html/inde谷口 綾子  電子メールでアポイントメントを取ること総合研究棟B 721室taniguchi[at]risk.tsukuba.ac.jphttps:/jp/̃tj330/Labo/ayakolab/index.html谷口 守  メールにより余裕をもってアポイントメントを取ること mamorutsukuba.ac.jphttps://infoshako.sk.tsukuba.ac.jp/̃tj3松原 康介  http://infoshako.sk.tsukuba.ac.j和田 健太郎  メールで事前にアポを取ってください https://triosjp/researcher/4258,,,,都市地域計画、グループワーク、調査、データ解析、持続性、交通・移動、公共サービス、環境、社会的ジレンマ、スマートキャンパス、歴史
81,都市計画事例講義,FH45135,3.0 単位,2 - 4 年次,"春C 集中; 秋A 木5,6,集中; 秋B 木5,6","雨宮 護, 藤井 さやか, 梅本 通孝, 岡本 直久","都市計画に関連する実際の事業や業務の実態に触れるため、卒業生や実務家が関わった多様な都市計画やまちづくりの事例等を取り上げ,実社会における都市計画業務のプロセスや手法を理解し、必要な見識と成功する条件等について議論する。",都市計画,講義及び実習・実験・実技,"コミュニケーション能力,批判的・創造的思考力,広い視野と国際性,協働性・主体性自律性,グローバル課題の分析能力,社会的要請への対応力,コミュニケーション・スル,課題探求能力","都市計画に関係する実際の事業や業務は,様々な法制度による規制等を受けたり,多く組織との交渉の結果,成立したりするものである。そこで卒業生が実際に関わった開発例等をとりあげ,実社会における業務内容や法規(建築基準法,都市計画法,建築士法設業法等)を理解しつつ,必要な見識と成功する条件等について理解する。",第1回 オリエンテーション第2回 卒業生による講義(1)第3回 卒業生による講義(2)第4回 卒業生による講義(3)第5回 卒業生による講義(4)第6回 卒業生による講義(5)第7回 卒業生による講義(6)第8回 卒業生による講義(7)第9回 卒業生による講義(8)第10回 卒業生による講義(9)第11回 卒業生による講義(10),"現地見学を3回程度,集中で夏季及び秋季休業中に行う。この詳細については6月~7ろに開催される都市計画インターンシップの授業ガイダンス内にて説明する。本科目受講予定者は必ずこのガイダンスに出席すること。本科目の履修は,社会工学類3・4年生を優先とする。","見学及び講義への参加の積極性(質問,ディスカッション等への参加)30%,レポー容70%の比重で総合的に評価する。","2単位相当分を講義,1単位相当分を現地見学に充てる。講義および現地見学後には,各回ともレポート提出を課す。",講義資料については毎週授業開始時に配布する。,随時。メールでアポイントメントをとること。雨宮 護  随時.メールで連絡すること. amemiya at sk.tsuk藤井 さやか  メールでアポイントをとってください fujii at sk.t梅本 通孝  月曜9:00-12:00(電子メール等にてアポ必要)総合研究棟B802 umemoto#at#risk.tsukuba.ac.jp//infoshako.sk.tsukuba.ac.jp/̃tj330/Lab,"都市計画の現場と多様な分野で活躍する卒業生の講義から,今後の学習やキャリアにつて探求してほしい。",,,"都市計画, 都市開発, 法規, 実務, キャリア"
82,基本製図,FH45142,1.0 単位,2 年次,"秋C 火3,4",山本 幸子,"社会工学類都市計画主専攻において,都市・建築空間の設計能力向上を目指す学生向け演習である。住宅の設計に必要な建築の基本図面(配置図,平面図,断面図,立面図等き方と関連する基礎知識を習得する。",都市計画,演習,データ・情報リテラシー社会的要請への対応力コミュニケーション・スキル課題探求能力,"住宅図面の製図作業を通して,建築図面の意味,図面の読み方と描き方,設計者の設計図,間取り・住棟配置の収まり,および都市・建築空間設計の基礎を学習する。そしてに行う予定の各自の設計作業に活かせるよう,建築物立案の企画力,建築空間の計画力計能力,および表現力の基礎技術を身につける。",第1回 講義計画と課題説明/製図作業(平面図・立面図)第2回 製図作業(平面図・立面図)第3回 製図作業(立面図・断面図)第4回 製図作業(立面図・断面図)第5回 製図作業(配置図・ショードローイング),CAD(Vectorworksを使用する)の基本的操作を習得していること。原則画情報演習」を既に履修していることとする。,提出課題の完成度により評価する。,演習時間外に自主的に課題建築物を見学する。演習時間内に終わらない場合、端末室の空き時間を活用して課題を完成させる。,"・コンパクト建築設計資料集成,日本建築学会・定番 建築製図入門,大脇賢次著,彰国社・やさしく学ぶ建築製図,松下希和+長沖充+照内創著,X-Knowledge・いちばんわかる建築製図入門,櫻井 良明,X-Knowledgeこの他、適宜講義内で紹介する。","適宜,メールでアポイントをとること文科系修士A棟307 sachiko at sk.tsukuba.ac.jp",,,,"建築,製図,設計"
83,設計演習I,FH45182,2.0 単位,3・4 年次,春A 金3-6,"山本 幸子, 藤川 昌樹, 渡辺 俊, 藤井 さやか, 雨宮 護, 今井 信博",社会工学類都市計画主専攻において、都市・建築空間の設計能力向上を目指す学生向けの演習である。木造住宅の設計を通して木造建築の基礎を習得し、住宅の計画・建築設計の基礎知識と技術を身につける。,都市計画,演習,コミュニケーション能力批判的・創造的思考力協働性・主体性・自立性社会的要請への対応コミュニケーション・スキル課題探求能力,戸建木造住宅を設計する中で建築設計に関する各知識や技法の基礎を習得し、建築物立案の企画力・建築空間の計画力・設計能力および表現力の基礎技術を身につける。課題は社会情勢や実現性を考慮した具体的なものとする。,"課題地を設定し、独立住宅の設計を行う。エスキスを重ねながら生活空間のデザイン手法を学ぶとともに、図面表現・模型製作技術等プレゼンテーション能力を身につける。第1回 講義計画と課題説明/建築計画と設計の基礎/課題地の見学/作品分析/計画第2回 エスキスI:コンセプト/ゾーニング/平面・断面計画第3回 エスキスII:平面・断面・立面計画/配置図第4回 中間発表/講評/模型の作り方第5回 エスキスIII:各種図面,模型他/プレゼンテーション技法第6回 最終発表/講評最終提出物:各種図面(A1)および模型",原則として「都市計画情報演習」「基本製図」を既に履修していることとする,提出課題の完成度により評価する,エスキースを適宜進めること,"この他、適宜講義内で紹介する1. 建築設計資料集成/日本建築学会,Architectural InstitArchitectural Design Data Corpus2. 日本の現代住宅1985-2005/TOTO出版,ToTo Shuppan1985-20053. 眼を養い手を練れ/宮脇檀住宅設計塾,Miyawaki Mayumi JuMewoyashinai Tewonere4. 建築設計学I/学芸出版社,Gakugei Shuppansha, Arc5. 世界で一番美しい住宅デザインの教科書/X-Knowledge,The MTextbook of House Designing, X-Knowledg6. プロセスで学ぶ独立住居と集合住居の設計/彰国社,Designing ofhouses and housing complexes, Shokokush",随時.メールでアポイントメントをとってください山本 幸子文科系修士A棟307 sachiko at sk.tsukuba.ac.jp,,,,"建築, 設計, 住宅"
